"Time,""bansos"""
2024-09-11,61
2024-09-12,51
2024-09-13,72
2024-09-14,59
2024-09-15,52
2024-09-16,47
2024-09-17,57
2024-09-18,59
2024-09-19,42
2024-09-20,55
2024-09-21,60
2024-09-22,41
2024-09-23,80
2024-09-24,85
2024-09-25,89
2024-09-26,66
2024-09-27,91
2024-09-28,41
2024-09-29,67
2024-09-30,80
2024-10-01,51
2024-10-02,54
2024-10-03,55
2024-10-04,50
2024-10-05,47
2024-10-06,54
2024-10-07,63
2024-10-08,100
2024-10-09,88
2024-10-10,80
2024-10-11,50
2024-10-12,72
2024-10-13,51
2024-10-14,62
2024-10-15,60
2024-10-16,59
2024-10-17,44
2024-10-18,64
2024-10-19,53
2024-10-20,55
2024-10-21,57
2024-10-22,46
2024-10-23,40
2024-10-24,56
2024-10-25,53
2024-10-26,0
2024-10-27,53
2024-10-28,46
2024-10-29,54
2024-10-30,37
2024-10-31,46
2024-11-01,42
2024-11-02,46
2024-11-03,66
2024-11-04,34
2024-11-05,29
2024-11-06,39
2024-11-07,75
2024-11-08,76
2024-11-09,70
2024-11-10,30
2024-11-11,66
2024-11-12,82
2024-11-13,77
2024-11-14,100
2024-11-15,66
2024-11-16,60
2024-11-17,61
2024-11-18,48
2024-11-19,28
2024-11-20,62
2024-11-21,66
2024-11-22,93
2024-11-23,68
2024-11-24,82
2024-11-25,68
2024-11-26,47
2024-11-27,56
2024-11-28,46
2024-11-29,66
2024-11-30,62
2024-12-01,23
2024-12-02,35
2024-12-03,38
2024-12-04,43
2024-12-05,45
2024-12-06,49
2024-12-07,47
2024-12-08,50
2024-12-09,51
2024-12-10,72
2024-12-11,66
2024-12-12,63
2024-12-13,54
2024-12-14,44
2024-12-15,36
2024-12-16,57
2024-12-17,79
2024-12-18,73
2024-12-19,100
2024-12-20,78
2024-12-21,52
2024-12-22,51
2024-12-23,39
2024-12-24,43
2024-12-25,32
2024-12-26,48
2024-12-27,36
2024-12-28,53
2024-12-29,60
2024-12-30,40
2024-12-31,42
